County,GEO_ID,Ratio Int Travelers,"Known Unvax per 100,000",Population Density,Latitude,Longitude,Risk Level
ALBANY,0500000US36001,131.10315401546032,8848.678189635899,581.8745218056619,-73.87897373333331,42.662920666666665,3
ALLEGANY,0500000US36003,212.69371914649886,9699.462673150003,47.552243736095065,-78.00696046666667,42.201451399999996,1
BRONX,0500000US36005,1392.1102577298782,8187.090609540916,32900.42755344418,-73.83139331578947,40.84568447368422,2
BROOME,0500000US36007,27.655357082293268,8754.75373878365,284.2285730478768,-75.63664510714284,42.13320139285714,2
CATTARAUGUS,0500000US36009,269.42636703091284,10061.242327278162,61.38800779607904,-78.75979857142859,42.25353742857143,2
CAYUGA,0500000US36011,422.0941956879629,8527.82845575188,115.71474016021284,-76.57597733333333,43.09595890476189,1
CHAUTAUQUA,0500000US36013,135.33177247148132,9503.94351580742,127.24125897210982,-79.47575520930233,42.32309599999999,1
CHEMUNG,0500000US36015,82.8279613567761,8484.973544973545,218.06800049097825,-76.79639261111113,42.09271511111111,2
CHENANGO,0500000US36017,221.79500482069318,8769.574261544863,56.49040344692519,-75.54268864285713,42.36715992857143,0
CLINTON,0500000US36019,251.42025187507681,8480.191895577636,79.13282266223445,-73.5671108095238,44.706683428571424,2
COLUMBIA,0500000US36021,916.0821509379173,10491.279954355268,99.40917899513164,-73.68923433333333,42.17566525,2
CORTLAND,0500000US36023,719.088969732441,8748.804118696287,98.9173149410538,-76.087988625,42.569199625,2
DELAWARE,0500000US36025,71.36227771282151,8760.583576490206,33.26308199994454,-75.14095084,42.14737132000001,0
DUTCHESS,0500000US36027,128.23736279433217,9251.241394610877,373.9024420899162,-73.79135234615384,41.72887226923077,2
ERIE,0500000US36029,79.06315520263354,9267.567135271589,881.4125003596466,-78.92099762264152,42.79009286792452,2
ESSEX,0500000US36031,417.56879117206637,8743.860807721616,21.942560318353834,-73.59029370731706,44.13172731707317,0
FRANKLIN,0500000US36033,125.05683434600918,9171.62154305316,31.67292771557651,-74.28915176470589,44.596701705882346,2
FULTON,0500000US36035,660.7396869314366,8703.003727647621,112.07742143823036,-74.40886466666666,43.114428666666676,0
GENESEE,0500000US36037,1757.941100256138,8730.171940278633,121.8789304986408,-78.24307075,43.02127733333333,1
GREENE,0500000US36039,832.4209264561009,9003.149062392069,76.0569256443538,-74.19099133333334,42.24340333333333,1
HAMILTON,0500000US36041,11.780417846887925,8293.631100082714,2.8159336660125667,-74.39276283333331,43.655216944444454,0
HERKIMER,0500000US36043,68.28242584788623,8613.603744633365,45.71050040029189,-74.99216866666666,43.264957428571435,1
JEFFERSON,0500000US36045,34.57328456242271,8546.651007924012,91.62061816662596,-76.14315340229884,43.99746740229885,2
KINGS,0500000US36047,768.0232384219513,8581.8598634567,35367.12792996329,-73.96400912244897,40.65472104081633,3
LEWIS,0500000US36049,42.02388691135249,9277.136633809576,21.250039225531108,-75.55825733333333,43.871007,0
LIVINGSTON,0500000US36051,1132.07780298291,8714.587188231157,103.5092440167152,-77.77137905882353,42.71827747058824,1
MADISON,0500000US36053,410.3151440258823,8662.894529016094,112.1525868914544,-75.93139711538463,43.117975846153854,1
MONROE,0500000US36055,50.83662601775365,8761.210273744398,1132.5816710031802,-77.71243802272727,43.23880029545455,2
MONTGOMERY,0500000US36057,794.1636405368318,9602.053007825723,124.60053592695513,-74.41466340000002,42.914665933333346,1
NASSAU,0500000US36059,1434.7784193795997,8940.176643783052,4704.734475976397,-73.61843917391305,40.782911478260864,2
NEW YORK,0500000US36061,1213.1117054821855,8324.516591177227,69464.43276390714,-73.96727697674419,40.761450162790695,0
NIAGARA,0500000US36063,341.21530082955536,8577.592634511177,414.4057737958496,-78.79078376470588,43.215817058823525,1
ONEIDA,0500000US36065,121.46035693448923,8550.315482931566,193.7249985566177,-75.41322559999999,43.159215550000006,2
ONONDAGA,0500000US36067,68.00148115734679,8730.907486949336,599.9897223756727,-76.00762808421052,43.12289878947367,2
