County,FIPS,GEO_ID,CENSUS_2010_POP,"Known Unvax per 100,000",Int Travelers < 50 mi,Number Vaccine Preventable,Ratio Int Travelers,Area in square miles - Land area,Vaccine Preventable per Pop,Population Density,Number of Cases of Measles 2019,Number of Cases of Measles 2019 per Pop,Avg Cases,Latitude,Longitude
OSWEGO,36075,0500000US36075,122109,8674.81512419232,295.45154283727913,1.0,241.95722087420185,951.65,0.8189404548395286,128.31293017390848,0,0.0,0.4094702274197643,-76.22331943478261,43.41873376086956
OTSEGO,36077,0500000US36077,62259,8716.29643906905,48.210352602659945,7.0,77.43515411853699,1001.7,11.243354374467948,62.15333932315064,0,0.0,5.621677187233974,-75.00942504545455,42.692903
PUTNAM,36079,0500000US36079,99710,9471.322836225052,7347.582011693915,1.0,7368.9519724139145,230.31,1.002908434459934,432.93821371195344,0,0.0,0.501454217229967,-73.63531840909091,41.437041545454534
QUEENS,36081,0500000US36081,2230722,8186.478234401238,19112.46491088853,119.0,856.783808600468,108.53,5.334595704888373,20553.966645167235,5,0.22414267667598206,2.7793691907821776,-73.8754525625,40.716936984374996
RENSSELAER,36083,0500000US36083,159429,8824.722603792283,398.8906048844482,15.0,250.19952761696314,652.43,9.408576858664357,244.36184724798065,0,0.0,4.704288429332179,-73.51387040909093,42.75674690909091
RICHMOND,36085,0500000US36085,468730,8184.594542700489,19136.743800432178,23.0,4082.6795384191705,58.37,4.9068760267104725,8030.3237964707905,0,0.0,2.4534380133552363,-74.16893402083333,40.5693983125
ROCKLAND,36087,0500000US36087,311687,13253.37630379195,19114.438281940224,33.0,6132.574756707923,173.55,10.587544555916672,1795.9492941515412,280,89.8337113835354,50.21062796972603,-73.98817766666667,41.12815042857143
SARATOGA,36091,0500000US36091,219607,9001.25132623277,399.1604961430077,4.0,181.76128089860873,809.98,1.8214355644401135,271.1264475666066,0,0.0,0.9107177822200567,-73.80224522727272,42.96444509090909
SCHENECTADY,36093,0500000US36093,154727,8661.259508683035,396.7664846919938,11.0,256.4300249419906,204.52,7.109295727313267,756.5372579698807,0,0.0,3.5546478636566334,-74.06532555555555,42.80321611111111
SCHOHARIE,36095,0500000US36095,32749,9157.210907203274,398.8210386411914,0.0,1217.8113488692522,621.82,0.0,52.66636647261265,0,0.0,0.0,-74.41633426666667,42.591767999999995
SCHUYLER,36097,0500000US36097,18343,8095.7204383143435,72.38043711472145,0.0,394.594325435978,328.33,0.0,55.86757225961685,0,0.0,0.0,-76.83967427272727,42.383831
SENECA,36099,0500000US36099,35251,9905.531757964312,507.1195292664296,0.0,1438.5961512196238,323.71,0.0,108.89685212072534,0,0.0,0.0,-76.8155125,42.76863208333334
ST. LAWRENCE,36089,0500000US36089,111944,8995.164546558994,11.795309175559836,0.0,10.536794446830413,2680.38,0.0,41.76422746028548,0,0.0,0.0,-75.14372393939394,44.70351281818182
STEUBEN,36101,0500000US36101,98990,8650.072734619658,96.71045181204748,5.0,97.69719346605463,1390.56,5.051015254066067,71.18714762397883,0,0.0,2.5255076270330337,-77.28078406249999,42.2386720625
SUFFOLK,36103,0500000US36103,1493350,9349.441992834903,13197.799373497755,138.0,883.7713445272545,912.05,9.24096829276459,1637.3554081464833,0,0.0,4.620484146382295,-72.6516603117647,40.96595932352941
SULLIVAN,36105,0500000US36105,77547,9484.886584909798,75.72376044116756,2.0,97.6488586807582,968.13,2.5790810734135428,80.09977998822473,0,0.0,1.2895405367067714,-74.86977396,41.645859599999994
TIOGA,36107,0500000US36107,51125,9231.215647921761,73.57607807322417,0.0,143.91408914078076,518.6,0.0,98.58272271500192,0,0.0,0.0,-76.27680894999999,42.13909970000001
TOMPKINS,36109,0500000US36109,101564,10158.363199558897,259.4284366204696,6.0,255.43345734755385,474.65,5.9076050569099285,213.97661434741389,0,0.0,2.9538025284549643,-76.47203221428572,42.391879357142855
ULSTER,36111,0500000US36111,182493,10526.380189925092,149.29752771690727,11.0,81.810002420316,1124.24,6.027628456981912,162.3256600014232,0,0.0,3.013814228490956,-74.12042932,41.830011320000004
WARREN,36113,0500000US36113,65707,8531.646552117734,313.55793043448057,5.0,477.20628005308504,866.95,7.6095393184896585,75.79099140665551,0,0.0,3.8047696592448292,-73.79495633333333,43.58958074999999
WASHINGTON,36115,0500000US36115,63216,8695.010756770438,283.93593806480993,0.0,449.1520154151005,831.18,0.0,76.05572800115499,0,0.0,0.0,-73.37080219444445,43.51082802777778
WAYNE,36117,0500000US36117,93772,8494.21895661818,475.2693327191163,1.0,506.8350176162567,603.83,1.0664164142814487,155.29536458937116,0,0.0,0.5332082071407244,-77.03415922857143,43.240842428571426
WESTCHESTER,36119,0500000US36119,949113,9135.321716170782,19109.1233904964,85.0,2013.366521214692,430.5,8.955730244976099,2204.6759581881533,0,0.0,4.4778651224880495,-73.73681947916667,41.0406100625
WYOMING,36121,0500000US36121,42155,8519.696358676314,1034.9727654381288,4.0,2455.1601599765836,592.75,9.488791365199859,71.11767186840996,0,0.0,4.744395682599929,-78.2203703,42.613238
YATES,36123,0500000US36123,25348,12769.571563831469,381.0862876536455,0.0,1503.4175779297993,338.14,0.0,74.96303306322825,0,0.0,0.0,-77.12135327272726,42.62103418181818
